href,name,address
/telepules/Barlahida,Polgármesteri Hivatal Nova,"8948 Barlahida, Nova Kossuth L. u. 35."
/telepules/B%e1rsonyos,Polgármesteri Hivatal Bársonyos,"2883 Bársonyos, Petőfi u. 13."
/telepules/B%e1ta,Polgármesteri Hivatal Báta,"7149 Báta, Fő u. 147."
/telepules/B%e1taap%e1ti,Polgármesteri Hivatal Bátaapáti,"7164 Bátaapáti, Petőfi u. 4."
/telepules/B%e1tasz%e9k,Polgármesteri Hivatal Bátaszék,"7140 Bátaszék, Szabadság u. 4."
/telepules/B%e1tmonostor,Polgármesteri Hivatal Bátmonostor,"6528 Bátmonostor, Zrínyi M. u. 1"
/telepules/B%e1tonyterenye,Polgármesteri Hivatal Bátonyterenye,"3070 Bátonyterenye, Városház út 2."
/telepules/B%e1tor,Polgármesteri Hivatal Bátor,"3336 Bátor, Kossuth L. u. 7/B."
/telepules/B%e1torliget,Polgármesteri Hivatal Bátorliget,"4343 Bátorliget, Szabadság tér 1."
/telepules/Battonya,Polgármesteri Hivatal Battonya,"5830 Battonya, Fő u. 91."
/telepules/B%e1tya,Polgármesteri Hivatal Bátya,"6351 Bátya, Kossuth utca 20."
/telepules/Batyk,Polgármesteri Hivatal Batyk,"8797 Batyk, Batyk Fő u. 11."
/telepules/Bazsi,Polgármesteri Hivatal Bazsi,"8352 Bazsi, Fő u. 50."
/telepules/B%e9b,Polgármesteri Hivatal Béb,"8565 Béb, Kossuth L. u. 1."
/telepules/Becske,Polgármesteri Hivatal Becske,"2693 Becske, Petőfi út 35."
/telepules/Becsv%f6lgye,Polgármesteri Hivatal Becsvölgye,"8985 Becsvölgye, Becsvölgye Kopácsai u. 53."
/telepules/Bed%f5,Polgármesteri Hivatal Bedő,"4128 Bedő, Rákóczi u. 35."
/telepules/Bejcgyerty%e1nos,Polgármesteri Hivatal Bejcgyertyános,"9683 Bejcgyertyános, Szabadság u. 12-14."
/telepules/B%e9k%e1s,Polgármesteri Hivatal Békás,"8515 Békás, Rákóczi u. 24."
/telepules/Bekecs,Polgármesteri Hivatal Bekecs,"3903 Bekecs, Bekecs Honvéd út 54."
/telepules/B%e9k%e9s,Polgármesteri Hivatal Békés,"5630 Békés, Petőfi Sándor utca 2."
/telepules/B%e9k%e9ss%e1mson,Polgármesteri Hivatal Békéssámson,"5946 Békéssámson, Hősök tere 10-12."
/telepules/B%e9k%e9sszentandr%e1s,Polgármesteri Hivatal Békésszentandrás,"5561 Békésszentandrás, Hősök tere 1."
/telepules/Bek%f6lce,Polgármesteri Hivatal Bekölce,"3343 Bekölce, Bekölce"
/telepules/B%e9lav%e1r,Polgármesteri Hivatal Bélavár,"7589 Bélavár, Szabadság tér 2."
/telepules/Belecska,Polgármesteri Hivatal Belecska,"7061 Belecska, Fő u. 20."
/telepules/Belezna,Polgármesteri Hivatal Belezna,"8855 Belezna, Belezna Szabadság tér 20."
/telepules/B%e9lmegyer,Polgármesteri Hivatal Bélmegyer,"5643 Bélmegyer, Petőfi u. 2."
/telepules/Beloiannisz,Polgármesteri Hivatal Beloiannisz,"2455 Beloiannisz, Szarafisz u. 2."
/telepules/Benk,Polgármesteri Hivatal Benk,"4643 Benk, Petőfi u. 2."
/telepules/B%e9r,Polgármesteri Hivatal Bér,"3045 Bér, Petőfi út 32."
/telepules/B%e9rbaltav%e1r,Polgármesteri Hivatal Bérbaltavár,"9831 Bérbaltavár, Arany János u. 17."
/telepules/Bercel,Polgármesteri Hivatal Bercel,"2687 Bercel, Béke út 1."
/telepules/Beregdar%f3c,Polgármesteri Hivatal Beregdaróc,"4934 Beregdaróc, Szabadság u. 86/B."
/telepules/Beregsur%e1ny,Polgármesteri Hivatal Beregsurány,"4933 Beregsurány, Rákóczi u. 1."
/telepules/Berekb%f6sz%f6rm%e9ny,Polgármesteri Hivatal Berekböszörmény,"4116 Berekböszörmény, Köztársaság tér 1."
/telepules/Berekf%fcrd%f5,Polgármesteri Hivatal Berekfürdő,"5309 Berekfürdő, Berek tér 15."
/telepules/Berente,Polgármesteri Hivatal Berente,"3704 Berente, Berente Esze Tamás u. 18."
/telepules/Beret,Polgármesteri Hivatal Detek,"3834 Beret, Beret Rákóczi út 40/b."
/telepules/Beret,Polgármesteri Hivatal Detek,"3834 Beret, Detek Kossuth u. 54."
/telepules/Beretty%f3%fajfalu,Polgármesteri Hivatal Berettyóújfalu,"4100 Berettyóújfalu, Dózsa Gy. u. 17/19. sz."
/telepules/Berhida,Polgármesteri Hivatal Berhida,"8181 Berhida, Veszprémi u. 1-3."
/telepules/Berkenye,Polgármesteri Hivatal Berkenye,"2641 Berkenye, Kossuth út. 20."
/telepules/Berkesz,Polgármesteri Hivatal Berkesz,"4521 Berkesz, Rákóczi u. 7."
/telepules/Berz%e9k,Polgármesteri Hivatal Berzék,"3575 Berzék, Berzék Petőfi u. 42."
/telepules/Berzence,Polgármesteri Hivatal Berzence,"7516 Berzence, Szabadság tér 19."
/telepules/Beseny%f5d,Polgármesteri Hivatal Besenyőd,"4557 Besenyőd, Petőfi u. 4."
/telepules/Beseny%f5telek,Polgármesteri Hivatal Besenyőtelek,"3373 Besenyőtelek, Fő út 89l"
/telepules/Besenysz%f6g,Polgármesteri Hivatal Besenyszög,"5071 Besenyszög, Dózsa Gy út 4."
/telepules/Besny%f5,Polgármesteri Hivatal Besnyő,"2456 Besnyő, Fő u. 35."
/telepules/Beszterec,Polgármesteri Hivatal Beszterec,"4488 Beszterec, Kossuth u. 42."
/telepules/Bezedek,Polgármesteri Hivatal Bezedek,"7782 Bezedek, Fő u. 8."
/telepules/Bezenye,Polgármesteri Hivatal Bezenye,"9223 Bezenye, Szabadság u. 50."
/telepules/Bezi,Polgármesteri Hivatal Bezi,"9162 Bezi, Szabadság u. 59."
/telepules/Bicske,Polgármesteri Hivatal Bicske,"2060 Bicske, Kossuth tér 14."
/telepules/Bihardancsh%e1za,Polgármesteri Hivatal Bihardancsháza,"4175 Bihardancsháza, Kossuth u. 17."
/telepules/Biharkeresztes,Polgármesteri Hivatal Biharkeresztes,"4110 Biharkeresztes, Széchenyi u. 57."
/telepules/Biharnagybajom,Polgármesteri Hivatal Biharnagybajom,"4172 Biharnagybajom, Rákóczi u. 5."
/telepules/Bihartorda,Polgármesteri Hivatal Bihartorda,"4174 Bihartorda, Kossuth u. 73."
/telepules/Biharugra,Polgármesteri Hivatal Biharugra,"5538 Biharugra, Erzsébet u. 25."
/telepules/Bik%e1cs,Polgármesteri Hivatal Bikács,"7043 Bikács, Szabadság tér 1."
/telepules/Bikal,Polgármesteri Hivatal Bikal,"7346 Bikal, Alkotmány tér 3."
/telepules/Biri,Polgármesteri Hivatal Biri,"4235 Biri, Kossuth u. 4."
/telepules/Birj%e1n,Polgármesteri Hivatal Belvárdgyula,"7747 Birján, Zrínyi u. 1/a."
/telepules/Birj%e1n,Polgármesteri Hivatal Belvárdgyula,"7747 Birján, Zrínyi M. u. 2."
/telepules/Bocon%e1d,Polgármesteri Hivatal Boconád,"3368 Boconád, Szabadság tér 1."
/telepules/B%f5cs,Polgármesteri Hivatal Bőcs,"3574 Bőcs, Bőcs Hősök tere 1."
/telepules/B%f3csa,Polgármesteri Hivatal Bócsa,"6235 Bócsa, Rákóczi F. utca 27"
/telepules/Bocskaikert,Polgármesteri Hivatal Bocskaikert,"4241 Bocskaikert, Poroszlay u. 20."
/telepules/Boda,Polgármesteri Hivatal Boda,"7672 Boda, Petőfi u. 43."
/telepules/Bodajk,Polgármesteri Hivatal Bodajk,"8053 Bodajk, Petőfi Sándor u. 60."
/telepules/Bodolyab%e9r,Polgármesteri Hivatal Magyarhertelend,"7394 Bodolyabér, Petőfi u. 28."
/telepules/Bodolyab%e9r,Polgármesteri Hivatal Magyarhertelend,"7394 Bodolyabér, Kossuth L. u.73."
/telepules/Bodonhely,Polgármesteri Hivatal Bodonhely,"9134 Bodonhely, Dózsa Gy. u. 47."
/telepules/Bodony,Polgármesteri Hivatal Bodony,"3243 Bodony, Liget u. 2."
/telepules/Bodroghalom,Polgármesteri Hivatal Bodroghalom,"3987 Bodroghalom, Bodroghalom Szabadság u. 89."
/telepules/Bodrogkereszt%far,Polgármesteri Hivatal Bodrogkeresztúr,"3916 Bodrogkeresztúr, Bodrogkeresztúr Kossuth utca 85."
